Afterburner;dir;misjueg;dir;afterbur;run;after.bas
Aspar GP Master;dir;misjueg;dir;aspar;run;aspar.bas
Barry McGuigan Boxing;dir;misjueg;dir;boxeo;run;barry.bin
Batman 3D;dir;misjueg;dir;batman3d;run;batman.bas
Billar;dir;misjueg;dir;billar;run;billar.bin
Bomb Jack;dir;misjueg;dir;bombjack;run;bombjack.bas
Boulder Dash;dir;misjueg;dir;boulder;run;disc.bas
Bubble Bobble;dir;misjueg;dir;bubble;run;b.bas
Commando;dir;misjueg;dir;commando;run;commando.bas
Cyrus II;dir;misjueg;dir;ajedrez;run;cyrus1.bin
Emilio Sanchez Vicario;dir;misjueg;dir;emiliosv;run;esv.bas
Goody;dir;misjueg;dir;goody;run;goody.bas
Gryzor;dir;misjueg;dir;gryzor;run;gryzor.bas
Harrier Attack;dir;misjueg;dir;hattack;run;attack.bas
Head Over Hells;dir;misjueg;dir;hohells;run;hoh.bas
Indiana Jones & last ...;dir;misjueg;dir;indy;run;disk.bas
La Abadia del Crimen;dir;misjueg;dsk;abadia1.dsk;cpm;
Mad Mix Game;dir;misjueg;dir;madmixgm;run;mad.bas
Match Day II;dir;misjueg;dir;mday2;run;md2.bin
Pacmania;dir;misjueg;dir;pacmania;run;pacmania.bas
Ping-Pong;dir;misjueg;dir;tenis;run;pingpong.bin
Pipemania;dir;misjueg;dir;pipemani;run;pipe.bin
Prohibition;dir;misjueg;dir;prohibit;run;prohibit.bas
Psycho-Pig;dir;misjueg;dir;ppig;run;pig.bas
R-type;dir;misjueg;dir;rtype;run;rtype.bas
Rampage;dir;misjueg;dir;rampage;run;rampage.bin
Roland on the Ropes;dir;misjueg;dir;roland;run;roland.bas
Rygar;dir;misjueg;dir;rygar;run;disc.bas
Silk Worm;dir;misjueg;dir;silkworm;run;silk.bas
Slap Fight;dir;misjueg;dir;slap;run;disc.bas
Super Sprint;dir;misjueg;dir;ssprint;run;ss.bas
Tetris;dir;misjueg;dir;tetris;run;tetris.bin
Wec Le Mans;dir;misjueg;dir;weclmans;run;wec.bas
